**************************************************************************************************************************
**************************************************************************************************************************

Collision strengths (Omega[i,k]) for OIII. The collisional excitation rate
is defined by

           C(i,k)=8.63D-08 OMEGA(i,k) EXP(-U0) / Gi /sqrt(T_4).

We also use the same definition for the ionization collision strength.
For ionization of low lying levels we expect OMEGA(i,i) to be propotional to T.

 Collision rates for the lowest 3 states are from Keith Butler (2012)
 Values in Butler which are 0. set to 1.d-4

 [Reference] O\,{\sc iii} collision strengths (Keith Butler, private communication, 2012)

**************************************************************************************************************************
**************************************************************************************************************************

1224                            !Number of transitions
10                              !Number of T values OMEGA tabulated at
1.0                             !Scaling factor for OMEGA (non-FILE values).
0.01                            !Value for OMEGA if f=0

Transition\T                                0.180     0.450     0.900     1.800     4.500     9.000    18.000    45.000    90.000   180.000

2s2_2p2_1Se-2s2_2p_3d_3Fo                  0.0680    0.0620    0.0540    0.0480    0.0420    0.0370    0.0300    0.0240    0.0200    0.0150
2s2_2p2_1Se-2s2_2p_3d_1Do                  0.0640    0.0560    0.0500    0.0460    0.0430    0.0400    0.0340    0.0260    0.0200    0.0140
2s2_2p2_1Se-2s2_2p_3d_3Do                  0.1300    0.1160    0.1010    0.0890    0.0770    0.0680    0.0570    0.0430    0.0350    0.0250
2s2_2p2_1Se-2s2_2p_3d_3Po                  0.1260    0.1170    0.1070    0.1040    0.1080    0.1090    0.1000    0.0790    0.0630    0.0460
2s2_2p2_1Se-2s2_2p_3d_1Fo                  0.0220    0.0200    0.0230    0.0250    0.0260    0.0260    0.0280    0.0350    0.0430    0.0480
2s2_2p2_1Se-2s2_2p_3d_1Po                  0.2090    0.2180    0.2320    0.2570    0.3160    0.3930    0.5160    0.7960    1.1400    1.5900
2s2_2p2_1Se-2s_2p2(4Pe)3s_5Pe              0.0030    0.0030    0.0040    0.0050    0.0040    0.0030    0.0020    0.0010    0.0010    0.0001
2s2_2p2_1Se-2s_2p2(4Pe)3s_3Pe              0.0410    0.0470    0.0480    0.0480    0.0460    0.0460    0.0470    0.0550    0.0670    0.0750
2s2_2p2_1Se-2s2_2p_4s_3Po                  0.0790    0.0600    0.0480    0.0370    0.0230    0.0160    0.0110    0.0080    0.0070    0.0050
2s2_2p2_1Se-2s2_2p_4s_1Po                  0.0360    0.0360    0.0330    0.0290    0.0240    0.0210    0.0190    0.0150    0.0110    0.0150
2s2_2p2_1Se-2p4_1Se                        0.0170    0.0180    0.0180    0.0170    0.0160    0.0160    0.0160    0.0170    0.0180    0.0190
2s2_2p2_1Se-2s_2p2(4Pe)3p_3So              0.0030    0.0030    0.0030    0.0020    0.0010    0.0010    0.0010    0.0001    0.0001    0.0001
2s2_2p2_1Se-2s_2p2(4Pe)3p_5Do              0.0270    0.0230    0.0190    0.0170    0.0150    0.0130    0.0110    0.0080    0.0060    0.0040
2s2_2p2_1Se-2s2_2p_4p_1Pe                  0.0030    0.0020    0.0020    0.0020    0.0010    0.0020    0.0020    0.0010    0.0010    0.0010
2s2_2p2_1Se-2s2_2p_4p_3De                  0.0900    0.0930    0.0900    0.0850    0.0800    0.0740    0.0640    0.0470    0.0330    0.0210
2s2_2p2_1Se-2s2_2p_4p_3Se                  0.0010    0.0010    0.0010    0.0010    0.0010    0.0010    0.0010    0.0010    0.0001    0.0001
2s2_2p2_1Se-2s_2p2(4Pe)3p_5Po              0.0340    0.0310    0.0280    0.0260    0.0230    0.0190    0.0140    0.0090    0.0060    0.0040
2s2_2p2_1Se-2s2_2p_4p_3Pe                  0.0470    0.0460    0.0430    0.0390    0.0350    0.0330    0.0290    0.0240    0.0220    0.0190
2s2_2p2_1Se-2s2_2p_4p_1De                  0.0420    0.0410    0.0380    0.0340    0.0290    0.0260    0.0230    0.0210    0.0200    0.0190
2s2_2p2_1Se-2s_2p2(4Pe)3p_3Do              0.0130    0.0120    0.0110    0.0100    0.0080    0.0060    0.0050    0.0040    0.0040    0.0030
2s2_2p2_1Se-2s_2p2(4Pe)3p_5So              0.0001    0.0001    0.0001    0.0001    0.0001    0.0001    0.0001    0.0001    0.0001    0.0001
