**********************************************************************
**********************************************************************

 Photoionization cross-sections for FeIV
 Smoothe Opacity project (3000km/s) and crude hydrogenic when 
 unavailable.

**********************************************************************
**********************************************************************

04-Nov-2000 00:04:27                   !Date
383                                    !Number of energy levels
1                                      !Number of photoionization routes
4.0                                    !Screened nuclear charge
3d4_5De                                !Final state in ion
0.0                                    !Excitation energy of final state
25.0                                   !Statistical weight of ion
Megabarns                              !Cross-section unit
False                                  !Split J levels
14741                                  !Total number of data pairs


3d4(5D)4s_6De                          !Configuration name
20                                     !Type of cross-section
21                                     !Number of cross-section points
 1.005D+00 4.216D-03
 1.010D+00 1.114D-02
 1.015D+00 2.502D-02
 1.020D+00 4.609D-02
 1.025D+00 6.881D-02
 1.030D+00 8.314D-02
 1.035D+00 8.445D-02
 1.041D+00 7.956D-02
 1.046D+00 8.344D-02
 1.051D+00 1.122D-01
 1.056D+00 1.776D-01
 1.067D+00 3.629D-01
 1.072D+00 3.977D-01
 1.078D+00 3.588D-01
 1.088D+00 2.036D-01
 1.094D+00 1.650D-01
 1.099D+00 1.584D-01
 1.116D+00 1.848D-01
 1.127D+00 1.885D-01
 1.335D+00 1.599D-01
 1.773D+00 1.151D-01
 2.142D+00 8.975D-02
 2.667D+00 6.651D-02
 3.336D+00 4.861D-02
 4.133D+00 3.572D-02
 5.068D+00 2.635D-02
 6.185D+00 1.980D-02
 7.662D+00 1.459D-02
 8.422D+00 1.112D-02
 9.120D+00 8.759D-03
 9.779D+00 7.106D-03
 1.043D+01 5.852D-03
 1.107D+01 4.892D-03
 1.170D+01 4.150D-03
 1.286D+01 3.125D-03
 1.393D+01 2.461D-03
 1.486D+01 2.027D-03
 1.641D+01 1.504D-03
 1.742D+01 1.257D-03
 1.795D+01 1.181D-03

3d4(1D2)4s_2De                         !Configuration name
20                                     !Type of cross-section
51                                     !Number of cross-section points
 1.000D+00 5.552D-03
 1.005D+00 1.493D-02
 1.010D+00 3.481D-02
 1.015D+00 6.873D-02
 1.020D+00 1.108D-01
 1.025D+00 1.432D-01
 1.030D+00 1.466D-01
 1.035D+00 1.199D-01
 1.041D+00 8.271D-02
 1.046D+00 5.857D-02
 1.051D+00 5.857D-02
 1.062D+00 9.579D-02
 1.067D+00 1.039D-01
 1.072D+00 1.028D-01
 1.078D+00 1.053D-01
 1.083D+00 1.197D-01
 1.088D+00 1.435D-01
 1.094D+00 1.721D-01
 1.099D+00 2.081D-01
 1.110D+00 2.973D-01
 1.116D+00 3.220D-01
 1.121D+00 3.106D-01
 1.127D+00 2.660D-01
 1.133D+00 2.101D-01
 1.138D+00 1.693D-01
 1.144D+00 1.544D-01
 1.150D+00 1.595D-01
 1.161D+00 1.822D-01
 1.179D+00 1.896D-01
 1.424D+00 1.581D-01
 1.910D+00 1.127D-01
 2.297D+00 8.868D-02
 2.845D+00 6.632D-02
 3.577D+00 4.823D-02
 4.344D+00 3.639D-02
 5.301D+00 2.710D-02
 6.405D+00 2.066D-02
 7.816D+00 1.553D-02
 8.591D+00 1.185D-02
 9.304D+00 9.328D-03
 1.003D+01 7.455D-03
 1.075D+01 6.048D-03
 1.141D+01 5.056D-03
 1.205D+01 4.290D-03
 1.338D+01 3.135D-03
 1.449D+01 2.468D-03
 1.546D+01 2.033D-03
 1.633D+01 1.725D-03
 1.786D+01 1.318D-03
 1.859D+01 1.171D-03
 1.905D+01 1.116D-03

3d4(1F)4s_2Fe                          !Configuration name
20                                     !Type of cross-section
49                                     !Number of cross-section points
 1.000D+00 3.869D-05
 1.005D+00 1.303D-04
 1.010D+00 3.933D-04
 1.015D+00 1.071D-03
 1.020D+00 2.675D-03
 1.025D+00 6.558D-03
 1.030D+00 1.612D-02
 1.035D+00 3.796D-02
 1.041D+00 7.757D-02
 1.046D+00 1.302D-01
 1.051D+00 1.737D-01
 1.056D+00 1.836D-01
 1.062D+00 1.553D-01
 1.067D+00 1.117D-01
 1.072D+00 8.483D-02
 1.078D+00 9.241D-02
 1.088D+00 1.660D-01
 1.094D+00 1.798D-01
 1.099D+00 1.664D-01
 1.105D+00 1.463D-01
 1.110D+00 1.406D-01
 1.116D+00 1.532D-01
 1.133D+00 2.245D-01
 1.138D+00 2.329D-01
 1.155D+00 2.086D-01
 1.167D+00 2.023D-01
 1.179D+00 1.873D-01
 1.190D+00 1.825D-01
 1.214D+00 1.887D-01
 1.764D+00 1.281D-01
 2.196D+00 9.740D-02
 2.747D+00 7.220D-02
 3.455D+00 5.254D-02
 4.279D+00 3.870D-02
 5.274D+00 2.840D-02
 6.437D+00 2.132D-02
 7.973D+00 1.571D-02
 8.764D+00 1.199D-02
 9.491D+00 9.444D-03
 1.018D+01 7.662D-03
 1.086D+01 6.310D-03
 1.152D+01 5.274D-03
 1.217D+01 4.475D-03
 1.345D+01 3.320D-03
 1.456D+01 2.614D-03
 1.546D+01 2.185D-03
 1.708D+01 1.621D-03
 1.813D+01 1.355D-03
 1.868D+01 1.269D-03

