09-Apr-1997 18:34:43              !Date
217                               !Number of energy levels
2                                 !Number of photoionization routes
3.0                               !Screened nuclear charge
2p_2Po/2p2Po                      !Final state in ion
64555.80                          !Excitation energy of final state
6                                 !Statistical weight of ion
3000.0                            !Sigma used for Gaussian smoothing (km/s)
Megabarns                         !Cross-section unit
False                             !Split J levels
3455                              !Total number of data pairs

 2.10779E+00   5.4648E-01
 2.11305E+00   5.3763E-01
 2.12892E+00   5.5575E-01
 2.14490E+00   5.9703E-01
 2.15563E+00   6.5034E-01
 2.16102E+00   6.9708E-01
 2.16640E+00   7.6935E-01
 2.17182E+00   8.7230E-01
 2.18268E+00   1.1002E+00
 2.18812E+00   1.1357E+00
 2.19359E+00   1.0819E+00
 2.19906E+00   9.8069E-01
 2.20456E+00   9.3812E-01
 2.21006E+00   1.1783E+00
 2.21558E+00   2.1017E+00
 2.22111E+00   4.3723E+00
 2.22666E+00   8.3269E+00
 2.23221E+00   1.3222E+01
 2.23780E+00   1.6902E+01
 2.24338E+00   1.7079E+01
 2.24898E+00   1.3703E+01
 2.25459E+00   8.7001E+00
 2.26023E+00   4.3955E+00
 2.26587E+00   1.8478E+00
 2.27153E+00   7.0218E-01
 2.27719E+00   3.3803E-01
 2.28289E+00   2.5550E-01
 2.28858E+00   2.5516E-01
 2.30577E+00   3.1473E-01
 2.31730E+00   3.6572E-01
 2.32308E+00   4.0969E-01
 2.32889E+00   4.8396E-01
 2.33470E+00   5.9657E-01
 2.34053E+00   7.2468E-01
 2.34637E+00   8.1115E-01
 2.35224E+00   8.0657E-01
 2.35810E+00   7.0923E-01
 2.36400E+00   5.7874E-01
 2.36989E+00   4.7970E-01
 2.37582E+00   4.3815E-01
 2.38174E+00   4.4864E-01
 2.38770E+00   4.8834E-01
 2.39365E+00   5.4035E-01
 2.39963E+00   6.0391E-01
 2.40562E+00   7.0214E-01
 2.41163E+00   8.9236E-01
 2.41765E+00   1.2886E+00
 2.42369E+00   2.0321E+00
 2.42974E+00   3.2048E+00
 2.43581E+00   4.5720E+00
 2.44188E+00   5.5371E+00
 2.44799E+00   5.5608E+00
 2.45409E+00   4.5609E+00
 2.46023E+00   3.0912E+00
 2.46636E+00   1.7986E+00
 2.47253E+00   9.9127E-01
 2.47870E+00   6.4530E-01
 2.48489E+00   5.4485E-01
 2.49109E+00   5.3879E-01
 2.49732E+00   5.6932E-01
 2.50354E+00   6.5674E-01
 2.50980E+00   8.2790E-01
 2.51606E+00   1.0896E+00
 2.52235E+00   1.4405E+00
 2.53496E+00   2.3494E+00
 2.54129E+00   2.6343E+00
 2.54764E+00   2.5554E+00
 2.55399E+00   2.1078E+00
 2.56038E+00   1.5260E+00
 2.56676E+00   1.0867E+00
 2.57318E+00   9.5708E-01
 2.57960E+00   1.2106E+00
 2.58605E+00   1.7711E+00
 2.59249E+00   2.4115E+00
 2.59898E+00   2.8021E+00
 2.60546E+00   2.7411E+00
 2.61197E+00   2.4104E+00
 2.61848E+00   2.2019E+00
 2.62503E+00   2.3313E+00
 2.63158E+00   2.6364E+00
 2.63816E+00   2.7631E+00
 2.64473E+00   2.5534E+00
 2.65135E+00   2.1794E+00
 2.65796E+00   1.8682E+00
 2.66460E+00   1.6872E+00
 2.67125E+00   1.5971E+00
 2.67793E+00   1.5616E+00
 2.69132E+00   1.6234E+00
 2.71152E+00   1.7486E+00
 2.72507E+00   1.7790E+00
 2.75927E+00   1.6607E+00
 3.11790E+00   1.1823E+00
 3.31020E+00   1.0011E+00
 3.54077E+00   8.2303E-01
 3.79684E+00   6.6693E-01
 4.00097E+00   5.6623E-01

2s4d3De                      !Configuration name
0                            !Type of cross-section
1                            !Number of cross-section points
0.0000E+00

2s4f3Fo                      !Configuration name
0                            !Type of cross-section
1                            !Number of cross-section points
0.0000E+00

2s4p1Po                      !Configuration name
0                            !Type of cross-section
1                            !Number of cross-section points
0.0000E+00

2s4f1Fo                      !Configuration name
0                            !Type of cross-section
1                            !Number of cross-section points
0.0000E+00

2p3p3De                      !Configuration name
20                           !Type of cross-section
177                          !Number of cross-section points
 1.00000E+00   2.1741E+00
 1.12716E+00   1.7138E+00
 1.23920E+00   1.4030E+00
 1.36918E+00   1.1497E+00
 1.47555E+00   1.0134E+00
 1.53561E+00   9.9645E-01
 1.55101E+00   1.0315E+00
 1.55876E+00   1.0753E+00
 1.56266E+00   1.1136E+00
 1.56655E+00   1.1800E+00
 1.57047E+00   1.3095E+00
 1.57439E+00   1.5802E+00
 1.57832E+00   2.0980E+00
 1.58226E+00   2.9776E+00
 1.58622E+00   4.2272E+00
 1.59415E+00   7.1229E+00
 1.59812E+00   8.0671E+00
 1.60212E+00   8.2669E+00
 1.60611E+00   7.6197E+00
 1.61013E+00   6.3499E+00
 1.61414E+00   4.8151E+00
 1.61818E+00   3.3805E+00
 1.62221E+00   2.2920E+00
 1.62627E+00   1.5824E+00
 1.63032E+00   1.1917E+00
 1.63440E+00   9.9013E-01
