
******************************************************************************

       Photoionization cross-sections for Ar VII

>> Data is from the Opacity project
>>   Verner high energy tail included for gnd level
>>   Smoothed with a gausian of width 3000 km/sec

          Types of cross sections included:
         -----------------------------------

           1 - Seaton formula fit [sigma_o,alpha,beta]                  

          20 - Opacity Project: smoothed [number of data pairs]         

******************************************************************************

15-Feb-2001                             !Date
153                                     !Number of energy levels
1                                       !Number of photoionization routes
7.0                                     !Screened nuclear charge
2p6_3s_2Se/3s_2Se                       !Final state in ion
0.0                                     !Excitation energy of final state
2.0                                     !Statistical weight of ion
3000.0                                  !Sigma used for Gaussian smoothing (km/s)
Megabarns                               !Cross-section unit
False                                   !Split J levels
32686                                   !Total number of data pairs

3s2_1Se                                 !Configuration name
 1.116D+00 2.491D-01
 1.121D+00 1.362D-01
 1.127D+00 8.843D-02
 1.133D+00 7.900D-02
 1.138D+00 8.700D-02
 1.144D+00 1.110D-01
 1.150D+00 1.656D-01
 1.155D+00 2.645D-01
 1.161D+00 4.058D-01
 1.167D+00 5.822D-01
 1.184D+00 1.233D+00
 1.190D+00 1.369D+00
 1.196D+00 1.371D+00
 1.202D+00 1.245D+00
 1.214D+00 8.970D-01
 1.220D+00 7.874D-01
 1.226D+00 7.291D-01
 1.233D+00 7.062D-01
 1.239D+00 7.107D-01
 1.245D+00 7.458D-01
 1.257D+00 8.834D-01
 1.264D+00 9.196D-01
 1.270D+00 8.894D-01
 1.283D+00 7.266D-01
 1.289D+00 7.124D-01
 1.295D+00 8.112D-01
 1.308D+00 1.264D+00
 1.315D+00 1.410D+00
 1.322D+00 1.370D+00
 1.328D+00 1.176D+00
 1.335D+00 9.428D-01
 1.341D+00 7.736D-01
 1.348D+00 7.007D-01
 1.382D+00 6.528D-01
 1.396D+00 6.917D-01
 1.403D+00 6.814D-01
 1.424D+00 5.968D-01
 1.445D+00 6.240D-01
 1.460D+00 6.689D-01
 1.475D+00 8.018D-01
 1.489D+00 1.017D+00
 1.497D+00 1.101D+00
 1.504D+00 1.107D+00
 1.512D+00 1.022D+00
 1.527D+00 7.767D-01
 1.534D+00 7.048D-01
 1.550D+00 6.561D-01
 1.597D+00 6.013D-01
 1.863D+00 4.361D-01
 1.978D+00 3.865D-01
 2.229D+00 3.012D-01
 2.720D+00 1.851D-01
 2.888D+00 1.547D-01
 3.065D+00 1.293D-01
 3.254D+00 1.080D-01
 3.437D+00 9.170D-02
 3.631D+00 7.780D-02
 3.835D+00 6.602D-02
 4.258D+00 4.824D-02
 4.680D+00 3.633D-02
 5.119D+00 2.776D-02
 5.571D+00 2.153D-02
 6.003D+00 1.721D-02
 6.437D+00 1.397D-02
 6.867D+00 1.150D-02
 7.290D+00 9.613D-03
 7.700D+00 8.158D-03
 8.506D+00 6.051D-03
 9.211D+00 4.765D-03
 9.828D+00 3.924D-03
 1.086D+01 2.910D-03
 1.147D+01 2.471D-03
 1.182D+01 2.334D-03
3p_3d_3Po                               !Configuration name
20                                      !Type of cross-section
97                                      !Number of cross-section points
 1.000D+00 1.814D-02
 1.005D+00 1.767D-02
 1.010D+00 2.124D-02
 1.015D+00 3.319D-02
 1.020D+00 5.648D-02
 1.025D+00 8.932D-02
 1.030D+00 1.297D-01
 1.035D+00 1.991D-01
 1.041D+00 3.556D-01
 1.046D+00 6.578D-01
 1.051D+00 1.061D+00
 1.056D+00 1.387D+00
 1.062D+00 1.436D+00
 1.067D+00 1.186D+00
 1.072D+00 8.146D-01
 1.078D+00 5.257D-01
 1.083D+00 4.088D-01
 1.088D+00 4.368D-01
 1.094D+00 5.575D-01
 1.099D+00 7.215D-01
 1.105D+00 8.491D-01
 1.110D+00 8.550D-01
 1.116D+00 7.300D-01
 1.121D+00 5.728D-01
 1.127D+00 5.070D-01
 1.133D+00 5.657D-01
 1.138D+00 6.748D-01
 1.144D+00 7.441D-01
 1.155D+00 8.018D-01
 1.161D+00 9.054D-01
 1.173D+00 1.237D+00
 1.179D+00 1.469D+00
 1.190D+00 2.135D+00
 1.196D+00 2.385D+00
 1.202D+00 2.402D+00
 1.208D+00 2.151D+00
 1.220D+00 1.306D+00
 1.226D+00 9.949D-01
 1.233D+00 8.214D-01
 1.239D+00 7.450D-01
 1.245D+00 7.212D-01
 1.251D+00 7.248D-01
 1.270D+00 8.123D-01
 1.276D+00 8.117D-01
 1.295D+00 6.755D-01
 1.302D+00 6.779D-01
 1.308D+00 7.628D-01
 1.315D+00 9.660D-01
 1.328D+00 1.573D+00
 1.335D+00 1.703D+00
 1.341D+00 1.581D+00
 1.355D+00 9.751D-01
 1.362D+00 7.711D-01
 1.368D+00 6.813D-01
 1.375D+00 6.581D-01
 1.389D+00 6.855D-01
 1.396D+00 7.542D-01
 1.410D+00 9.436D-01
 1.417D+00 9.466D-01
 1.424D+00 8.612D-01
 1.431D+00 7.453D-01
 1.438D+00 6.670D-01
 1.445D+00 6.591D-01
 1.460D+00 7.561D-01
 1.467D+00 7.695D-01
 1.482D+00 7.092D-01
 1.489D+00 7.040D-01
 1.527D+00 8.272D-01
 1.558D+00 7.306D-01
 1.613D+00 6.191D-01
 1.854D+00 4.872D-01
